headline,date,id,doc_type,material_type,sectionname,keywords,printpage,wordcount,newsdesk
Martin McDonagh’s ‘Hangmen’ Will Open on Broadway This Spring,2022-02-01,nyt://article/397ec298-3af9-58a0-81bb-ba38a4c6e479,article,News,Theater,"['Theater', 'Finances']",3,552,Culture
Transcript: Ezra Klein Interviews Amanda Litman,2022-02-01,nyt://article/94579bd5-6b92-5342-9fae-d2295bf8e369,article,Op-Ed,Podcasts,[],,12451,OpEd
"In Congo, Floating Pastors Follow Mobile Flocks Along Busy River",2022-02-01,nyt://article/08e4aba5-e6b8-590c-a2e2-fbfd2c30c3e1,article,News,World,"['Ministers (Protestant)', 'Pentecostal Churches', 'Christians and Christianity', 'Maritime Accidents and Safety', 'Boats and Boating', 'Rivers']",6,1195,Foreign
Job openings remained elevated in December despite an Omicron surge.,2022-02-01,nyt://article/34c80e61-3617-5649-86c5-3472a08f5f39,article,News,Business Day,"['Labor and Jobs', 'Layoffs and Job Reductions', 'Coronavirus Omicron Variant', 'Coronavirus (2019-nCoV)', 'United States Economy']",4,462,Business
Brady set the GOAT bar.,2022-02-01,nyt://article/f30a18e7-97c2-55e3-88d9-33ec6172686d,article,News,Sports,[],,332,Sports
"A Conductor in Demand, and in Control",2022-02-01,nyt://article/028317d7-e03b-58e7-b147-40c22be080b4,article,News,Arts,"['Classical Music', 'Opera', 'Content Type: Personal Profile']",11,1530,Arts&Leisure
The Rampaging Pigs of the San Francisco Bay Area,2022-02-01,nyt://article/533746f5-bc07-5d98-9f8d-63e991994670,article,News,U.S.,"['Pigs', 'Hunting and Trapping', 'Law and Legislation', 'Suburbs', 'State Legislatures', 'Animal Abuse, Rights and Welfare']",1,1365,National
"Anders Behring Breivik, Killer in 2011 Norway Massacre, Is Denied Parole",2022-02-01,nyt://article/2b9e54be-0eaa-59b2-9e3f-8b7588f9f335,article,News,World,"['Murders, Attempted Murders and Homicides', 'Terrorism', 'Neo Nazi Groups']",6,735,Foreign
ABC Suspends Whoopi Goldberg Over Holocaust Comments,2022-02-01,nyt://article/86386ad4-2d63-529c-ae68-4e7ceb83153a,article,News,U.S.,"['Holocaust and the Nazi Era', 'Anti-Semitism', 'Jews and Judaism', 'Race and Ethnicity', 'World War II (1939-45)', 'War Crimes, Genocide and Crimes Against Humanity', 'Murders, Attempted Murders and Homicides', 'Discrimination']",3,1080,Business
Which of the following is not true about mammals?,2022-02-01,nyt://interactive/ed9e0cd0-9f90-5869-86e4-0f346c468c07,multimedia,Interactive Feature,Science,[],,0,Science
"To Skate for the Dutch, You First Must Beat the Matrix",2022-02-01,nyt://article/794c225b-74ae-5cb5-b946-f1d64f9315b5,article,News,Sports,"['Speedskating', 'Olympic Games (2022)']",9,1247,Sports
"End Affirmative Action for Rich White Students, Too",2022-02-01,nyt://article/b9e7510f-7926-5ba3-9dc3-c823e26cd3de,article,Op-Ed,Opinion,"['internal-sub-only-nl', 'Affirmative Action', 'Admissions Standards']",,1434,OpEd
A Race to Rethink Care After a Dire Diagnosis,2022-02-01,nyt://article/d2a78924-19dc-551d-b2dd-665e27aa08ca,article,News,Business Day,"['Amyotrophic Lateral Sclerosis', 'Clinical Trials', 'Telemedicine', 'Venture Capital', 'Start-ups']",1,1375,Business
How Poly Styrene Broke the Mold,2022-02-01,nyt://article/b81b6b1f-dffe-5a32-8c92-e1be785e26c2,article,News,Arts,"['Documentary Films and Programs', 'Content Type: Personal Profile', 'Pop and Rock Music', 'Black People', 'Blacks', 'Women and Girls']",17,2059,Arts&Leisure
I Admit It. I’m in Love With Fear.,2022-02-01,nyt://interactive/007123a6-65de-59a5-8496-e4aa1997983f,multimedia,Interactive Feature,Sports,"['Olympic Games (2022)', 'Olympic Games', 'Snowboarding', 'Skiing']",,0,Graphics
What It’s Like to Ski Nearly Blind,2022-02-01,nyt://interactive/1045c231-dbdb-5f37-9d48-fab8d5ba4818,multimedia,Interactive Feature,Sports,"['Olympic Games (2022)', 'Olympic Games', 'Snowboarding', 'Skiing']",,0,Graphics
"Escalating Tricks, Escalating Fears",2022-02-01,nyt://interactive/844fc4a6-046b-5d6e-ba5b-f4d4b3c93684,multimedia,Interactive Feature,Sports,"['Olympic Games (2022)', 'Olympic Games', 'Snowboarding', 'Skiing']",,0,Graphics
